ISSN-year_tag,count_Dimensions,fixed_from,database_Dimensions,database_OpenAlex,count_OpenAlex,year,Dim/OpenAlex,ISSN
0021-9258_2023,1195,,Dimensions,OpenAlex,2599,2023,0.45979222777991535,0021-9258
0022-0302_2022,701,,Dimensions,OpenAlex,745,2022,0.9409395973154362,0022-0302
0022-0302_2023,801,,Dimensions,OpenAlex,731,2023,1.0957592339261286,0022-0302
0022-2275_2021,129,,Dimensions,OpenAlex,139,2021,0.9280575539568345,0022-2275
0022-2275_2022,121,,Dimensions,OpenAlex,143,2022,0.8461538461538461,0022-2275
0022-2275_2023,125,,Dimensions,OpenAlex,146,2023,0.8561643835616438,0022-2275
0023-6438_2022,1793,,Dimensions,OpenAlex,1797,2022,0.9977740678909294,0023-6438
0023-6438_2023,1322,,Dimensions,OpenAlex,1323,2023,0.999244142,0023-6438
0032-5791_2021,625,,Dimensions,OpenAlex,765,2021,0.8169934640522876,0032-5791
0032-5791_2022,647,,Dimensions,OpenAlex,669,2022,0.9671150971599403,0032-5791
0032-5791_2023,841,,Dimensions,OpenAlex,910,2023,0.9241758241758242,0032-5791
0038-0806_2021,112,,Dimensions,OpenAlex,114,2021,0.9824561403508771,0038-0806
0038-0806_2022,102,,Dimensions,OpenAlex,103,2022,0.9902912621359223,0038-0806
0038-0806_2023,100,,Dimensions,OpenAlex,102,2023,0.9803921568627451,0038-0806
0142-9418_2021,436,,Dimensions,OpenAlex,449,2021,0.9710467706013363,0142-9418
0142-9418_2022,305,,Dimensions,OpenAlex,306,2022,0.9967320261437909,0142-9418
0142-9418_2023,388,,Dimensions,OpenAlex,388,2023,1,0142-9418
0147-6513_2021,1263,,Dimensions,OpenAlex,1685,2021,0.7495548961424332,0147-6513
0147-6513_2022,1309,,Dimensions,OpenAlex,1258,2022,1.0405405405405406,0147-6513
0147-6513_2023,1372,,Dimensions,OpenAlex,1373,2023,0.9992716678805535,0147-6513
0160-4120_2019,951,,Dimensions,OpenAlex,886,2019,1.0733634311512414,0160-4120
0160-4120_2020,871,,Dimensions,OpenAlex,908,2020,0.9592511013215859,0160-4120
0160-4120_2021,663,,Dimensions,OpenAlex,670,2021,0.9895522388059701,0160-4120
0160-4120_2022,611,,Dimensions,OpenAlex,725,2022,0.8427586206896551,0160-4120
0160-4120_2023,638,,Dimensions,OpenAlex,639,2023,0.9984350547730829,0160-4120
0166-0616_2019,3,,Dimensions,OpenAlex,12,2019,0.25,0166-0616
0166-0616_2020,14,,Dimensions,OpenAlex,16,2020,0.875,0166-0616
0166-0616_2021,10,,Dimensions,OpenAlex,10,2021,1,0166-0616
0168-1702_2023,224,,Dimensions,OpenAlex,240,2023,0.9333333333333333,0168-1702
0169-1368_2022,542,,Dimensions,OpenAlex,551,2022,0.9836660617059891,0169-1368
0169-1368_2023,494,,Dimensions,OpenAlex,498,2023,0.9919678714859438,0169-1368
0171-9335_2021,21,,Dimensions,OpenAlex,27,2021,0.7777777777777778,0171-9335
0171-9335_2022,78,,Dimensions,OpenAlex,78,2022,1,0171-9335
0171-9335_2023,85,,Dimensions,OpenAlex,79,2023,1.0759493670886076,0171-9335
0212-6567_2019,47,,Dimensions,OpenAlex,87,2019,0.5402298850574713,0212-6567
0212-6567_2020,50,,Dimensions,OpenAlex,165,2020,0.30303030303030304,0212-6567
0212-6567_2021,90,,Dimensions,OpenAlex,174,2021,0.5172413793103449,0212-6567
0212-6567_2022,71,,Dimensions,OpenAlex,118,2022,0.6016949152542372,0212-6567
0212-6567_2023,63,,Dimensions,OpenAlex,77,2023,0.8181818181818182,0212-6567
0213-4853_2021,89,,Dimensions,OpenAlex,116,2021,0.7672413793103449,0213-4853
0213-4853_2022,38,,Dimensions,OpenAlex,133,2022,0.2857142857142857,0213-4853
0213-4853_2023,10,,Dimensions,OpenAlex,125,2023,0.08,0213-4853
0264-1275_2019,610,,Dimensions,OpenAlex,624,2019,0.9775641025641025,0264-1275
0264-1275_2020,933,,Dimensions,OpenAlex,976,2020,0.9559426229508197,0264-1275
0264-1275_2021,1056,,Dimensions,OpenAlex,1085,2021,0.9732718894009217,0264-1275
0264-1275_2022,1098,,Dimensions,OpenAlex,1110,2022,0.9891891891891892,0264-1275
0264-1275_2023,1046,,Dimensions,OpenAlex,1059,2023,0.987724268,0264-1275
0308-8146_2021,2716,,Dimensions,OpenAlex,2728,2021,0.9956011730205279,0308-8146
0361-9230_2023,187,,Dimensions,OpenAlex,202,2023,0.9257425742574258,0361-9230
0362-028X_2023,170,,Dimensions,OpenAlex,178,2023,0.9550561797752809,0362-028X
0365-0596_2020,113,,Dimensions,OpenAlex,406,2020,0.27832512315270935,0365-0596
0365-0596_2021,100,,Dimensions,OpenAlex,335,2021,0.29850746268656714,0365-0596
0365-0596_2022,89,,Dimensions,OpenAlex,167,2022,0.5329341317365269,0365-0596
0365-0596_2023,74,,Dimensions,OpenAlex,180,2023,0.4111111111111111,0365-0596
0366-3175_2022,70,,Dimensions,OpenAlex,72,2022,0.9722222222222222,0366-3175
0366-3175_2023,64,,Dimensions,OpenAlex,65,2023,0.9846153846153847,0366-3175
0375-0906_2023,52,,Dimensions,OpenAlex,122,2023,0.4262295081967213,0375-0906
0378-3774_2023,569,,Dimensions,OpenAlex,570,2023,0.9982456140350877,0378-3774
0386-1112_2022,56,,Dimensions,OpenAlex,57,2022,0.9824561403508771,0386-1112
0386-1112_2023,51,,Dimensions,OpenAlex,53,2023,0.9622641509433962,0386-1112
0531-5565_2023,205,,Dimensions,OpenAlex,258,2023,0.7945736434108527,0531-5565
0717-3458_2019,59,,Dimensions,OpenAlex,62,2019,0.9516129032258065,0717-3458
0717-3458_2020,57,,Dimensions,OpenAlex,57,2020,1,0717-3458
0717-3458_2023,38,,Dimensions,OpenAlex,39,2023,0.9743589743589743,0717-3458
0717-6287_2019,60,,Dimensions,OpenAlex,60,2019,1,0717-6287
0717-6287_2020,53,,Dimensions,OpenAlex,54,2020,0.9814814814814815,0717-6287
0717-6287_2021,42,,Dimensions,OpenAlex,43,2021,0.9767441860465116,0717-6287
0717-6287_2022,37,,Dimensions,OpenAlex,37,2022,1,0717-6287
0717-6287_2023,63,,Dimensions,OpenAlex,63,2023,1,0717-6287
0717-6317_2019,7,,Dimensions,OpenAlex,8,2019,0.875,0717-6317
0717-6317_2020,9,,Dimensions,OpenAlex,9,2020,1,0717-6317
0717-6317_2021,6,,Dimensions,OpenAlex,12,2021,0.5,0717-6317
0717-6317_2022,8,,Dimensions,OpenAlex,9,2022,0.8888888888888888,0717-6317
0717-6317_2023,10,,Dimensions,OpenAlex,10,2023,1,0717-6317
0718-1876_2020,31,,Dimensions,OpenAlex,39,2020,0.7948717948717948,0718-1876
0718-1876_2021,169,,Dimensions,OpenAlex,175,2021,0.9657142857142857,0718-1876
0718-1876_2022,90,,Dimensions,OpenAlex,91,2022,0.989010989,0718-1876
0718-1876_2023,109,,Dimensions,OpenAlex,113,2023,0.9646017699115044,0718-1876
0753-3322_2019,1197,,Dimensions,OpenAlex,1428,2019,0.8382352941176471,0753-3322
0753-3322_2020,1287,,Dimensions,OpenAlex,1347,2020,0.95545657,0753-3322
0753-3322_2021,1357,,Dimensions,OpenAlex,1374,2021,0.987627365,0753-3322
0753-3322_2022,1459,,Dimensions,OpenAlex,1524,2022,0.9573490813648294,0753-3322
0753-3322_2023,1771,,Dimensions,OpenAlex,1818,2023,0.9741474147414741,0753-3322
0870-2551_2019,159,,Dimensions,OpenAlex,103,2019,1.5436893203883495,0870-2551
0870-2551_2020,136,,Dimensions,OpenAlex,89,2020,1.5280898876404494,0870-2551
0888-7543_2022,245,,Dimensions,OpenAlex,276,2022,0.8876811594202898,0888-7543
0888-7543_2023,185,,Dimensions,OpenAlex,168,2023,1.1011904761904763,0888-7543
0890-8508_2023,47,,Dimensions,OpenAlex,49,2023,0.9591836734693877,0890-8508
0928-0987_2022,210,,Dimensions,OpenAlex,228,2022,0.9210526315789473,0928-0987
0928-0987_2023,267,,Dimensions,OpenAlex,250,2023,1.068,0928-0987
0929-6646_2019,210,,Dimensions,OpenAlex,294,2019,0.7142857142857143,0929-6646
0929-6646_2020,236,,Dimensions,OpenAlex,303,2020,0.7788778877887789,0929-6646
0960-9776_2020,143,,Dimensions,OpenAlex,194,2020,0.7371134020618557,0960-9776
0960-9776_2021,165,,Dimensions,OpenAlex,491,2021,0.3360488798370672,0960-9776
0960-9776_2022,145,,Dimensions,OpenAlex,161,2022,0.9006211180124224,0960-9776
0960-9776_2023,124,,Dimensions,OpenAlex,642,2023,0.19314641744548286,0960-9776
0965-2299_2021,128,,Dimensions,OpenAlex,176,2021,0.7272727272727273,0965-2299
0965-2299_2022,97,,Dimensions,OpenAlex,96,2022,1.0104166666666667,0965-2299
0965-2299_2023,72,,Dimensions,OpenAlex,78,2023,0.9230769230769231,0965-2299
0969-9961_2020,293,,Dimensions,OpenAlex,339,2020,0.8643067846607669,0969-9961
0969-9961_2021,249,,Dimensions,OpenAlex,291,2021,0.8556701030927835,0969-9961
0969-9961_2022,254,,Dimensions,OpenAlex,255,2022,0.996078431,0969-9961
0969-9961_2023,350,,Dimensions,OpenAlex,352,2023,0.9943181818181818,0969-9961
0970-3896_2022,28,,Dimensions,OpenAlex,32,2022,0.875,0970-3896
0970-3896_2023,34,,Dimensions,OpenAlex,40,2023,0.85,0970-3896
0972-6292_2022,38,,Dimensions,OpenAlex,70,2022,0.5428571428571428,0972-6292
0972-6292_2023,43,,Dimensions,OpenAlex,63,2023,0.6825396825396826,0972-6292
0975-9476_2019,55,,Dimensions,OpenAlex,54,2019,1.0185185185185186,0975-9476
0975-9476_2020,73,,Dimensions,OpenAlex,90,2020,0.8111111111111111,0975-9476
0975-9476_2021,134,,Dimensions,OpenAlex,123,2021,1.089430894308943,0975-9476
0975-9476_2022,109,,Dimensions,OpenAlex,160,2022,0.68125,0975-9476
0975-9476_2023,97,,Dimensions,OpenAlex,129,2023,0.751937984,0975-9476
1000-9361_2021,333,,Dimensions,OpenAlex,340,2021,0.9794117647058823,1000-9361
1000-9361_2022,375,,Dimensions,OpenAlex,391,2022,0.959079284,1000-9361
1000-9361_2023,435,,Dimensions,OpenAlex,477,2023,0.9119496855345912,1000-9361
1018-3647_2021,365,,Dimensions,OpenAlex,373,2021,0.9785522788203753,1018-3647
1018-3647_2022,617,,Dimensions,OpenAlex,614,2022,1.004885993485342,1018-3647
1018-3647_2023,501,,Dimensions,OpenAlex,510,2023,0.9823529411764705,1018-3647
1026-9185_2019,22,,Dimensions,OpenAlex,23,2019,0.9565217391304348,1026-9185
1026-9185_2020,54,,Dimensions,OpenAlex,55,2020,0.9818181818181818,1026-9185
1026-9185_2021,75,,Dimensions,OpenAlex,76,2021,0.9868421052631579,1026-9185
1026-9185_2022,92,,Dimensions,OpenAlex,94,2022,0.9787234042553191,1026-9185
1026-9185_2023,122,,Dimensions,OpenAlex,124,2023,0.9838709677419355,1026-9185
1029-242X_2019,313,,Dimensions,OpenAlex,319,2019,0.9811912225705329,1029-242X
1029-242X_2020,252,,Dimensions,OpenAlex,257,2020,0.980544747,1029-242X
1029-242X_2021,190,,Dimensions,OpenAlex,199,2021,0.9547738693467337,1029-242X
1029-242X_2022,165,,Dimensions,OpenAlex,166,2022,0.9939759036144579,1029-242X
1029-242X_2023,160,,Dimensions,OpenAlex,162,2023,0.9876543209876543,1029-242X
1029-3132_2021,28,,Dimensions,OpenAlex,26,2021,1.0769230769230769,1029-3132
1029-3132_2022,33,,Dimensions,OpenAlex,32,2022,1.03125,1029-3132
1029-3132_2023,56,,Dimensions,OpenAlex,58,2023,0.9655172413793104,1029-3132
1043-6618_2023,329,,Dimensions,OpenAlex,375,2023,0.8773333333333333,1043-6618
1053-8119_2020,1012,,Dimensions,OpenAlex,1006,2020,1.0059642147117296,1053-8119
1053-8119_2021,924,,Dimensions,OpenAlex,1133,2021,0.8155339805825242,1053-8119
1053-8119_2022,771,,Dimensions,OpenAlex,803,2022,0.9601494396014943,1053-8119
1053-8119_2023,580,,Dimensions,OpenAlex,606,2023,0.9570957095709571,1053-8119
1056-6171_2021,96,,Dimensions,OpenAlex,98,2021,0.9795918367346939,1056-6171
1056-6171_2022,82,,Dimensions,OpenAlex,82,2022,1,1056-6171
1056-6171_2023,76,,Dimensions,OpenAlex,77,2023,0.987012987,1056-6171
1077-291X_2022,31,,Dimensions,OpenAlex,30,2022,1.0333333333333334,1077-291X
1077-291X_2023,39,,Dimensions,OpenAlex,39,2023,1,1077-291X
1097-0193_2020,376,,Dimensions,OpenAlex,376,2020,1,1097-0193
1097-0193_2021,368,,Dimensions,OpenAlex,372,2021,0.989247312,1097-0193
1097-0193_2022,398,,Dimensions,OpenAlex,399,2022,0.9974937343358395,1097-0193
1097-0193_2023,320,,Dimensions,OpenAlex,321,2023,0.9968847352024922,1097-0193
1098-0997_2023,5,,Dimensions,OpenAlex,5,2023,1,1098-0997
1098-1004_2023,34,,Dimensions,OpenAlex,34,2023,1,1098-1004
1098-1071_2023,3,,Dimensions,OpenAlex,3,2023,1,1098-1071
1098-111X_2023,179,,Dimensions,OpenAlex,181,2023,0.988950276,1098-111X
1098-2329_2023,46,,Dimensions,OpenAlex,46,2023,1,1098-2329
1098-2825_2019,313,,Dimensions,OpenAlex,321,2019,0.9750778816199377,1098-2825
1098-2825_2020,486,,Dimensions,OpenAlex,508,2020,0.9566929133858267,1098-2825
1098-2825_2021,494,,Dimensions,OpenAlex,504,2021,0.9801587301587301,1098-2825
1098-2825_2022,605,,Dimensions,OpenAlex,607,2022,0.9967051070840197,1098-2825
1098-2825_2023,124,,Dimensions,OpenAlex,126,2023,0.9841269841269841,1098-2825
1099-047X_2023,67,,Dimensions,OpenAlex,67,2023,1,1099-047X
1099-0526_2023,150,,Dimensions,OpenAlex,257,2023,0.5836575875486382,1099-0526
1099-114X_2023,327,,Dimensions,OpenAlex,330,2023,0.990909091,1099-114X
1099-1824_2021,87,,Dimensions,OpenAlex,90,2021,0.9666666666666667,1099-1824
1099-1824_2022,79,,Dimensions,OpenAlex,85,2022,0.9294117647058824,1099-1824
1099-1824_2023,70,,Dimensions,OpenAlex,71,2023,0.9859154929577465,1099-1824
1099-4300_2019,1247,,Dimensions,OpenAlex,1255,2019,0.9936254980079682,1099-4300
1099-4300_2020,1403,,Dimensions,OpenAlex,1417,2020,0.9901199717713479,1099-4300
1099-4300_2021,1686,,Dimensions,OpenAlex,1707,2021,0.9876977152899824,1099-4300
1099-4300_2022,1829,,Dimensions,OpenAlex,1831,2022,0.9989077007099946,1099-4300
1099-4300_2023,1598,,Dimensions,OpenAlex,1603,2023,0.9968808484092326,1099-4300
1110-0168_2021,491,,Dimensions,OpenAlex,492,2021,0.9979674796747967,1110-0168
1110-0168_2022,936,,Dimensions,OpenAlex,952,2022,0.9831932773109243,1110-0168
1110-0168_2023,1158,,Dimensions,OpenAlex,1169,2023,0.9905902480752781,1110-0168
1110-8665_2021,50,,Dimensions,OpenAlex,53,2021,0.9433962264150944,1110-8665
1110-8665_2022,59,,Dimensions,OpenAlex,64,2022,0.921875,1110-8665
1110-8665_2023,58,,Dimensions,OpenAlex,62,2023,0.9354838709677419,1110-8665
1110-9823_2022,85,,Dimensions,OpenAlex,89,2022,0.9550561797752809,1110-9823
1110-9823_2023,88,,Dimensions,OpenAlex,89,2023,0.9887640449438202,1110-9823
1129-2377_2019,109,,Dimensions,OpenAlex,112,2019,0.9732142857142857,1129-2377
1129-2377_2020,130,,Dimensions,OpenAlex,132,2020,0.9848484848484849,1129-2377
1129-2377_2021,143,,Dimensions,OpenAlex,154,2021,0.9285714285714286,1129-2377
1129-2377_2022,151,,Dimensions,OpenAlex,153,2022,0.9869281045751634,1129-2377
1129-2377_2023,159,,Dimensions,OpenAlex,159,2023,1,1129-2377
1130-6343_2023,109,,Dimensions,OpenAlex,88,2023,1.2386363636363635,1130-6343
1134-0096_2023,70,,Dimensions,OpenAlex,124,2023,0.5645161290322581,1134-0096
1179-6901_2019,32,,Dimensions,OpenAlex,32,2019,1,1179-6901
1179-6901_2020,41,,Dimensions,OpenAlex,42,2020,0.9761904761904762,1179-6901
1179-6901_2021,37,,Dimensions,OpenAlex,39,2021,0.9487179487179487,1179-6901
1179-6901_2022,32,,Dimensions,OpenAlex,33,2022,0.9696969696969697,1179-6901
1179-6901_2023,37,,Dimensions,OpenAlex,38,2023,0.9736842105263158,1179-6901
1201-9712_2019,397,,Dimensions,OpenAlex,732,2019,0.5423497267759563,1201-9712
1201-9712_2020,911,,Dimensions,OpenAlex,2058,2020,0.4426627793974733,1201-9712
1201-9712_2021,822,,Dimensions,OpenAlex,1002,2021,0.8203592814371258,1201-9712
1201-9712_2022,588,,Dimensions,OpenAlex,957,2022,0.6144200626959248,1201-9712
1201-9712_2023,320,,Dimensions,OpenAlex,790,2023,0.4050632911392405,1201-9712
1279-8479_2021,42,,Dimensions,OpenAlex,75,2021,0.56,1279-8479
1297-966X_2022,44,,Dimensions,OpenAlex,48,2022,0.9166666666666666,1297-966X
1297-966X_2023,44,,Dimensions,OpenAlex,48,2023,0.9166666666666666,1297-966X
1297-9686_2019,74,,Dimensions,OpenAlex,74,2019,1,1297-9686
1297-9686_2020,68,,Dimensions,OpenAlex,68,2020,1,1297-9686
1297-9686_2021,92,,Dimensions,OpenAlex,95,2021,0.968421053,1297-9686
1297-9686_2022,80,,Dimensions,OpenAlex,80,2022,1,1297-9686
1297-9686_2023,92,,Dimensions,OpenAlex,92,2023,1,1297-9686
1297-9716_2019,108,,Dimensions,OpenAlex,110,2019,0.9818181818181818,1297-9716
1297-9716_2020,136,,Dimensions,OpenAlex,137,2020,0.9927007299270073,1297-9716
1297-9716_2021,145,,Dimensions,OpenAlex,147,2021,0.9863945578231292,1297-9716
1297-9716_2022,112,,Dimensions,OpenAlex,112,2022,1,1297-9716
1297-9716_2023,124,,Dimensions,OpenAlex,124,2023,1,1297-9716
1303-0701_2022,12,,Dimensions,OpenAlex,12,2022,1,1303-0701
1303-0701_2023,12,,Dimensions,OpenAlex,12,2023,1,1303-0701
1319-0164_2021,168,,Dimensions,OpenAlex,164,2021,1.024390243902439,1319-0164
1319-0164_2022,199,,Dimensions,OpenAlex,191,2022,1.0418848167539267,1319-0164
1319-0164_2023,339,,Dimensions,OpenAlex,306,2023,1.107843137254902,1319-0164
1319-1578_2022,809,,Dimensions,OpenAlex,819,2022,0.9877899877899878,1319-1578
1319-1578_2023,380,,Dimensions,OpenAlex,382,2023,0.9947643979057592,1319-1578
1319-562X_2021,980,,Dimensions,OpenAlex,922,2021,1.0629067245119306,1319-562X
1319-562X_2022,360,,Dimensions,OpenAlex,619,2022,0.5815831987075929,1319-562X
1319-562X_2023,248,,Dimensions,OpenAlex,284,2023,0.8732394366197183,1319-562X
1319-6103_2021,116,,Dimensions,OpenAlex,118,2021,0.9830508474576272,1319-6103
1319-6103_2022,125,,Dimensions,OpenAlex,125,2022,1,1319-6103
1319-6103_2023,142,,Dimensions,OpenAlex,143,2023,0.993006993,1319-6103
1323-8930_2023,53,,Dimensions,OpenAlex,61,2023,0.8688524590163934,1323-8930
1326-0200_2023,92,,Dimensions,OpenAlex,93,2023,0.989247312,1326-0200
1347-4715_2019,81,,Dimensions,OpenAlex,82,2019,0.9878048780487805,1347-4715
1347-4715_2020,80,,Dimensions,OpenAlex,81,2020,0.9876543209876543,1347-4715
1347-4715_2021,109,,Dimensions,OpenAlex,116,2021,0.9396551724137931,1347-4715
1347-8613_2019,125,,Dimensions,OpenAlex,132,2019,0.946969697,1347-8613
1347-8613_2020,112,,Dimensions,OpenAlex,102,2020,1.0980392156862746,1347-8613
1347-8613_2021,119,,Dimensions,OpenAlex,116,2021,1.0258620689655173,1347-8613
1347-8613_2022,92,,Dimensions,OpenAlex,108,2022,0.8518518518518519,1347-8613
1347-8613_2023,75,,Dimensions,OpenAlex,79,2023,0.9493670886075949,1347-8613
1348-9585_2020,71,,Dimensions,OpenAlex,73,2020,0.9726027397260274,1348-9585
1348-9585_2021,111,,Dimensions,OpenAlex,115,2021,0.9652173913043478,1348-9585
1348-9585_2022,60,,Dimensions,OpenAlex,61,2022,0.9836065573770492,1348-9585
1348-9585_2023,64,,Dimensions,OpenAlex,66,2023,0.9696969696969697,1348-9585
1349-4147_2019,60,,Dimensions,OpenAlex,60,2019,1,1349-4147
1349-4147_2020,96,,Dimensions,OpenAlex,97,2020,0.9896907216494846,1349-4147
1349-4147_2021,75,,Dimensions,OpenAlex,89,2021,0.8426966292134831,1349-4147
1349-4147_2022,76,,Dimensions,OpenAlex,77,2022,0.987012987,1349-4147
1349-4147_2023,63,,Dimensions,OpenAlex,63,2023,1,1349-4147
1349-7006_2019,334,,Dimensions,OpenAlex,349,2019,0.9570200573065902,1349-7006
1349-7006_2020,443,,Dimensions,OpenAlex,461,2020,0.9609544468546638,1349-7006
1349-7006_2021,425,,Dimensions,OpenAlex,457,2021,0.9299781181619255,1349-7006
1349-7006_2022,406,,Dimensions,OpenAlex,421,2022,0.9643705463182898,1349-7006
1349-7006_2023,316,,Dimensions,OpenAlex,331,2023,0.9546827794561934,1349-7006
1350-4177_2021,397,,Dimensions,OpenAlex,495,2021,0.802020202,1350-4177
1350-4177_2022,362,,Dimensions,OpenAlex,362,2022,1,1350-4177
1350-4177_2023,448,,Dimensions,OpenAlex,472,2023,0.9491525423728814,1350-4177
1350-911X_2021,376,,Dimensions,OpenAlex,384,2021,0.9791666666666666,1350-911X
1350-911X_2022,272,,Dimensions,OpenAlex,272,2022,1,1350-911X
1350-911X_2023,356,,Dimensions,OpenAlex,357,2023,0.9971988795518207,1350-911X
1364-3703_2019,117,,Dimensions,OpenAlex,116,2019,1.0086206896551724,1364-3703
1364-3703_2020,116,,Dimensions,OpenAlex,116,2020,1,1364-3703
1364-3703_2021,139,,Dimensions,OpenAlex,139,2021,1,1364-3703
1364-3703_2022,104,,Dimensions,OpenAlex,105,2022,0.9904761904761905,1364-3703
1364-3703_2023,110,,Dimensions,OpenAlex,110,2023,1,1364-3703
1364-8535_2019,255,,Dimensions,OpenAlex,272,2019,0.9375,1364-8535
1364-8535_2020,297,,Dimensions,OpenAlex,441,2020,0.673469388,1364-8535
1364-8535_2021,281,,Dimensions,OpenAlex,370,2021,0.7594594594594595,1364-8535
1364-8535_2022,314,,Dimensions,OpenAlex,319,2022,0.9843260188087775,1364-8535
1364-8535_2023,339,,Dimensions,OpenAlex,345,2023,0.9826086956521739,1364-8535
1365-2095_2023,105,,Dimensions,OpenAlex,105,2023,1,1365-2095
1365-2109_2023,138,,Dimensions,OpenAlex,139,2023,0.9928057553956835,1365-2109
1365-2184_2019,155,,Dimensions,OpenAlex,159,2019,0.9748427672955975,1365-2184
1365-2184_2020,189,,Dimensions,OpenAlex,211,2020,0.8957345971563981,1365-2184
1365-2184_2021,165,,Dimensions,OpenAlex,170,2021,0.9705882352941176,1365-2184
1365-2184_2022,180,,Dimensions,OpenAlex,186,2022,0.967741935,1365-2184
1365-2184_2023,165,,Dimensions,OpenAlex,177,2023,0.9322033898305084,1365-2184
1365-2354_2023,52,,Dimensions,OpenAlex,53,2023,0.9811320754716981,1365-2354
1365-2524_2023,154,,Dimensions,OpenAlex,155,2023,0.9935483870967742,1365-2524
1365-2710_2023,52,,Dimensions,OpenAlex,55,2023,0.9454545454545454,1365-2710
1365-2834_2023,101,,Dimensions,OpenAlex,101,2023,1,1365-2834
1369-1643_2023,4,,Dimensions,OpenAlex,4,2023,1,1369-1643
1369-7625_2019,136,,Dimensions,OpenAlex,138,2019,0.9855072463768116,1369-7625
1369-7625_2020,145,,Dimensions,OpenAlex,151,2020,0.9602649006622517,1369-7625
1369-7625_2021,221,,Dimensions,OpenAlex,222,2021,0.9954954954954955,1369-7625
1369-7625_2022,251,,Dimensions,OpenAlex,254,2022,0.9881889763779528,1369-7625
1369-7625_2023,251,,Dimensions,OpenAlex,252,2023,0.996031746,1369-7625
1385-1101_2022,80,,Dimensions,OpenAlex,80,2022,1,1385-1101
1385-1101_2023,113,,Dimensions,OpenAlex,114,2023,0.9912280701754386,1385-1101
1388-2481_2019,224,,Dimensions,OpenAlex,229,2019,0.9781659388646288,1388-2481
1388-2481_2020,178,,Dimensions,OpenAlex,190,2020,0.9368421052631579,1388-2481
1388-2481_2021,203,,Dimensions,OpenAlex,204,2021,0.9950980392156863,1388-2481
1388-2481_2022,156,,Dimensions,OpenAlex,157,2022,0.9936305732484076,1388-2481
1388-2481_2023,140,,Dimensions,OpenAlex,140,2023,1,1388-2481
1399-5448_2023,61,,Dimensions,OpenAlex,62,2023,0.9838709677419355,1399-5448
1413-8670_2019,74,,Dimensions,OpenAlex,71,2019,1.0422535211267605,1413-8670
1413-8670_2020,75,,Dimensions,OpenAlex,88,2020,0.8522727272727273,1413-8670
1413-8670_2021,73,,Dimensions,OpenAlex,570,2021,0.1280701754385965,1413-8670
1413-8670_2022,57,,Dimensions,OpenAlex,928,2022,0.061422413793103446,1413-8670
1413-8670_2023,41,,Dimensions,OpenAlex,914,2023,0.044857768052516414,1413-8670
1420-3049_2019,4616,,Dimensions,OpenAlex,4625,2019,0.998054054,1420-3049
1420-3049_2020,5981,,Dimensions,OpenAlex,6013,2020,0.9946781972393148,1420-3049
1420-3049_2021,7716,,Dimensions,OpenAlex,7754,2021,0.9950993035852463,1420-3049
1420-3049_2022,9062,,Dimensions,OpenAlex,9069,2022,0.9992281398169589,1420-3049
1420-3049_2023,7965,,Dimensions,OpenAlex,7967,2023,0.9997489644784737,1420-3049
1422-0067_2019,6444,,Dimensions,OpenAlex,6457,2019,0.9979866811212638,1422-0067
1422-0067_2020,9709,,Dimensions,OpenAlex,9755,2020,0.99528447,1422-0067
